0,1,2,3,4
"(0, 0.86911047)","(1, 0.12751879)",,,
"(0, 0.9820438)","(3, 0.0165333)",,,
"(0, 0.89222354)","(1, 0.060337335)","(2, 0.014189602)","(3, 0.032854468)",
"(0, 0.95113623)","(1, 0.044830546)",,,
"(0, 0.9299571)","(1, 0.06665993)",,,
"(0, 0.97358334)","(3, 0.025220886)",,,
"(0, 0.9095289)","(1, 0.05831854)","(2, 0.02209773)",,
"(0, 0.9502133)","(1, 0.045821715)",,,
"(0, 0.89087373)","(1, 0.05490593)","(3, 0.053460427)",,
"(0, 0.95733696)","(1, 0.03845174)",,,
"(0, 0.95572597)","(3, 0.03392972)",,,
"(0, 0.9786211)","(3, 0.020018416)",,,
"(0, 0.8954823)","(1, 0.06748095)","(3, 0.036158234)",,
"(0, 0.9703664)","(3, 0.028436933)",,,
"(0, 0.9957853)",,,,
"(0, 0.9512733)","(1, 0.04475504)",,,
"(0, 0.9540672)","(1, 0.042240284)",,,
"(0, 0.967174)","(3, 0.031414066)",,,
"(0, 0.94889736)","(1, 0.03648849)","(2, 0.011970313)",,
"(0, 0.9955204)",,,,
"(0, 0.95602673)","(1, 0.03326333)",,,
"(0, 0.89162)","(1, 0.07836034)","(3, 0.029219264)",,
"(0, 0.99585783)",,,,
"(0, 0.96601474)","(1, 0.030479157)",,,
"(0, 0.9780328)","(3, 0.020702114)",,,
"(0, 0.91215956)","(1, 0.07311412)","(3, 0.013912783)",,
"(0, 0.95381945)","(4, 0.04314562)",,,
"(0, 0.9285003)","(1, 0.068316706)",,,
"(0, 0.8396663)","(1, 0.15724)",,,
"(0, 0.91331697)","(1, 0.083428815)",,,
"(0, 0.9665412)","(3, 0.031748343)",,,
"(0, 0.88812584)","(4, 0.106965326)",,,
"(0, 0.5186532)","(3, 0.049228873)","(4, 0.4311891)",,
"(0, 0.95351547)","(4, 0.041767623)",,,
"(0, 0.81592923)","(4, 0.18044694)",,,
"(0, 0.90034235)","(3, 0.042293333)","(4, 0.056216866)",,
"(0, 0.7834851)","(3, 0.034308046)","(4, 0.18092993)",,
"(0, 0.74377114)","(4, 0.25052065)",,,
"(0, 0.7623039)","(4, 0.23290035)",,,
"(0, 0.7109536)","(4, 0.28228977)",,,
"(0, 0.99564534)",,,,
"(0, 0.6788806)","(3, 0.19298545)","(4, 0.12673356)",,
